"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"Methylamine",0.11943,0.02253,0.0022893,0.066316,0.016881,0.0038704,0.07982,-0.092465,-0.074501,0.06787,-0.080181,0.084016,-0.040219,-0.070629,0.1981,-0.092593,-0.27366,0.15629,0.053053,0.11556,-0.0090056,0.0018185,-0.17525,-0.00081966,-0.23974,0.19177,0.021283,0.27859,-0.071807,-0.011582,-0.080096,0.095665,0.017533,-0.075657,0.38633,-0.079788,-0.094526,-0.016133,0.121,0.28049,0.090205,0.061188,0.18143,0.058696,-0.041721,-0.17091,-0.17857,-0.073517,-0.093368,-0.24164,0.073438,-0.034239,0.1134,0.087048,0.047766,0.057405,0.087864,-0.20175,0.078986,-0.0033083,-0.056191,-0.089858,-0.042958
"Methylguanidine",0.097524,-0.20529,-0.038694,0.034936,-0.197,0.10426,0.16856,0.048923,-0.20321,-0.26012,-0.17488,-0.17799,0.0039549,0.12394,0.027098,-0.035049,-0.0015053,0.1678,0.11913,-0.079802,-0.11387,-0.32286,0.15674,-0.12553,-0.11187,-0.18432,-0.027226,0.26847,-0.043589,-0.14237,0.17651,0.083307,0.016145,-0.11156,-0.0042774,-0.10841,0.068972,0.14186,0.20916,0.0041339,-0.060687,0.022862,0.080621,0.11244,-0.024146,0.16654,-0.066543,0.10005,0.097706,0.19255,-0.0084723,-0.019126,0.087783,-0.070069,-0.0091846,-0.13444,-0.0082068,0.18334,-0.061864,-0.033316,0.088007,-0.044221,-0.073354
"N,N-Dimethylglycine",0.14501,-0.077548,0.062682,-0.11412,0.20025,-0.19088,0.23955,0.054707,0.065246,0.036797,0.026158,0.097256,-0.022426,0.073125,0.021882,-0.030453,0.016415,-0.036468,-0.14726,0.074143,0.029864,0.058444,0.11531,0.041018,-0.27619,-0.096767,0.03936,-0.076269,0.16438,0.08353,-0.11256,0.25968,0.040116,-0.13356,0.088807,0.040887,0.26437,-0.088628,-0.08237,-0.032987,-0.25984,0.02557,-0.15022,0.096395,-0.010299,-0.095577,-0.29361,-0.02152,0.22335,0.080931,0.083202,0.1585,-0.099024,0.049406,-0.137,-0.2188,-0.15018,0.033364,0.06306,-0.056042,-0.10813,-0.044195,0.13617
"O-Acetylcarnitine",0.13235,-0.080904,-0.23117,-0.11919,0.27914,0.14523,-0.11951,-0.11495,0.16115,-0.052874,-0.2842,-0.087636,-0.0047728,-0.17241,0.050564,0.023639,0.060357,-0.056569,0.042386,-0.060403,-0.076364,-0.14631,-0.089649,-0.0089402,0.007278,0.13393,0.042881,-0.023443,0.0831,0.064746,-0.0866,0.25575,-0.1186,-0.19523,-0.23206,-0.077184,-0.0095669,-0.16404,0.13745,-0.024482,-0.032229,0.15742,0.096258,-0.23349,0.024637,0.18934,-0.045585,0.22861,-0.078361,-0.16868,-0.10641,-0.083351,-0.16958,0.12991,0.072756,0.010908,-0.11542,-0.040017,0.014275,-0.10116,-0.0010083,0.096214,0.047582
"Pantothenate",0.12197,0.11118,0.26593,0.20599,-0.068475,-0.015067,-0.10364,-0.22111,-0.016632,-0.27038,-0.066482,0.055261,0.14234,-0.1162,0.080021,0.041979,-0.18565,-0.14398,0.1322,-0.10865,0.19668,0.11515,0.028869,0.086495,0.12145,0.14078,-0.076775,-0.020061,-0.025157,0.14455,-0.1616,0.14575,0.33646,-0.10715,-0.10918,-0.1624,0.28091,0.20594,-0.14886,0.018152,0.15496,0.089351,0.032558,0.1347,-0.0077113,0.037423,0.0097263,0.046642,0.081015,-0.025684,-0.11367,-0.014413,-0.066655,-0.060831,-0.068467,-0.041987,-0.0013497,0.06457,-0.083956,-0.03005,0.080475,-0.032873,-0.037954
"Pyroglutamate",0.13572,0.090346,-0.074948,0.041425,-0.084735,0.036946,-0.013244,-0.018196,0.034074,0.036316,-0.059624,0.003909,-0.052973,0.040283,0.058075,0.013727,0.12634,-0.0048632,-0.051202,-0.00090224,0.058072,0.099694,0.083625,0.18929,-0.017624,-0.045525,-0.013631,0.039031,0.13211,0.019935,-0.17344,-0.061587,-0.18365,-0.098143,-0.051164,-0.099449,0.033178,0.16694,-0.068346,-0.10323,-0.086137,0.035028,-0.013659,-0.1476,0.028643,0.11597,0.041473,0.14948,-0.10541,0.17373,-0.0023479,0.1237,0.24502,-0.023704,0.040577,0.069738,0.20147,-0.20042,-0.062386,-0.17774,-0.30837,-0.52732,-0.17382
"Pyruvate",0.14363,-0.13853,0.1276,-0.01319,-0.067196,0.15454,0.14321,0.02535,0.020404,-0.041081,0.13516,-0.18508,-0.14368,0.16536,-0.015213,0.080618,0.11059,0.072945,-0.098488,0.23969,0.15334,0.072115,-0.18179,0.098527,0.024813,-0.13523,0.25995,-0.18326,-0.18555,0.38646,-0.00080087,0.23695,0.068995,0.042724,-0.0080872,0.0087502,-0.15876,0.017991,0.03704,0.27306,0.077071,-0.051272,0.040464,0.067443,0.077846,0.098033,0.076897,0.14089,-0.15434,0.084496,-0.10382,-0.12771,0.048287,-0.044852,-0.019485,-0.030419,0.06277,0.097086,0.018807,-0.022879,-0.12108,0.043132,0.099126
"Quinolinate",0.10927,0.091216,0.0039434,0.064769,0.015738,-0.015842,0.071704,0.02548,0.070932,0.04448,-0.093325,0.018321,-0.094744,0.00087983,0.16045,0.025977,0.061854,0.21418,0.024705,-0.034624,0.12246,0.19306,-0.097767,0.030432,0.034435,-0.013112,-0.22002,0.2725,0.047119,-0.05447,-0.20202,0.055742,-0.0097648,0.23634,-0.092767,-0.087214,-0.14082,-0.01704,-0.1152,0.17223,-0.20169,-0.15498,-0.017255,-0.069163,-0.18652,0.32568,0.19044,-0.13818,-0.15713,0.092936,0.097594,0.1505,-0.056949,0.070409,-0.088554,-0.19398,-0.22801,0.014483,-0.046108,0.10159,0.19281,0.046227,0.077832
"Serine",0.12621,-0.049145,-0.0081076,0.013582,-0.041387,0.010332,-0.07969,0.027414,-0.0096828,-0.10779,-0.043936,-0.032429,0.020609,0.071239,0.014308,-0.035808,0.22026,0.014605,-0.0053026,0.053106,0.10454,0.046291,0.14472,0.14635,0.072831,0.12826,0.03764,-0.04668,0.17764,0.056877,-0.026754,-0.033774,0.15027,0.055808,0.0062683,-0.046224,-0.15419,-0.13202,0.14957,-0.16682,0.19253,0.04496,-0.1736,0.065989,-0.23157,-0.21692,-0.17535,0.24129,-0.15378,0.099106,0.24253,0.014852,0.26264,0.18757,-0.056236,-0.031195,-0.043597,-0.057353,0.22166,-0.018361,0.36305,0.058949,-0.092462
"Succinate",0.16693,0.22958,0.12149,-0.11278,-0.055091,-0.25613,-0.10414,-0.1774,-0.051472,0.043783,-0.0012673,0.073202,-0.0035581,-0.18306,-0.31344,0.09764,0.088898,0.20377,-0.1805,-0.13358,0.086007,-0.056158,0.056191,-0.11641,-0.15071,0.1044,0.097103,-0.064546,-0.18757,-0.12552,-0.091941,0.0021078,-0.14656,0.26741,0.027191,-0.27528,-0.060026,0.078618,0.10404,-0.08191,0.10512,0.048901,0.041249,0.028449,0.046885,0.066432,-0.11161,0.025171,-0.012446,0.07367,-0.070432,-0.046466,0.052521,0.12955,0.089948,-0.10636,-0.049526,0.2358,0.12419,-0.049324,-0.17643,0.059626,0.036545
"Sucrose",0.096657,0.30103,-0.18342,0.010484,-0.060167,0.20034,0.16583,0.16704,0.068251,-0.36204,0.14179,0.33688,-0.23154,-0.11884,0.19875,-0.043615,-0.035802,-0.039954,0.033417,0.24716,-0.089225,-0.1035,0.076721,-0.070517,0.081513,0.044156,-0.062686,-0.023752,-0.093853,-0.087003,-0.04978,0.031882,-0.048472,0.22274,0.0027031,0.035123,0.03113,-0.064291,0.045766,-0.10195,-0.010145,0.00018034,-0.13052,0.033535,-0.046755,-0.066785,-0.0054585,0.10418,0.019435,0.023506,-0.32033,-0.031596,-0.08634,0.012637,-0.015724,-0.063565,0.11694,-0.013451,0.11503,0.033088,-0.018627,-0.032403,0.092111
"Tartrate",0.10992,-0.11516,-0.16647,0.12229,-0.15042,0.022376,-0.19802,-0.42536,0.084592,-0.13296,0.28615,0.053861,0.090906,0.1899,-0.33006,-0.10051,-0.03743,0.14903,0.28918,0.25034,-0.2554,0.0025126,-0.061671,0.05393,0.0087338,0.17941,-0.028113,0.0070093,0.080233,-0.027218,-0.018522,0.15518,-0.081544,0.00064334,0.01095,0.094985,-0.0082944,-0.073037,-0.10867,0.025379,-0.13906,0.041114,-0.089258,-0.0031223,0.061152,-0.010456,0.061645,-0.059985,0.021205,0.07694,0.057424,0.090248,0.030614,0.047913,0.040386,-0.058143,-0.055617,0.047988,-0.011328,0.039184,-0.043362,-0.0054698,-0.015708
"Taurine",0.13778,-0.037589,0.094591,0.023739,0.16722,0.087232,-0.30468,-0.087598,-0.31907,-0.0083771,0.35098,-0.088574,-0.24235,0.049245,0.32586,0.38824,-0.050804,0.14235,-0.16379,-0.054828,-0.050669,-0.065256,0.043548,-0.020634,0.012475,0.056732,0.062217,0.095162,0.19282,0.017173,0.10746,-0.097119,0.03068,0.0058264,0.051129,-0.0084388,0.09152,-0.12598,-0.10742,-0.087682,-0.053749,-0.036046,0.033999,0.033571,0.022707,0.0060133,0.028024,0.035004,0.078179,0.045619,-0.075711,-0.061108,0.010221,0.054564,0.1742,0.00027916,-0.16503,-0.068635,-0.050945,-0.04648,-0.028216,0.032475,-0.025461
"Threonine",0.14199,-0.041,-0.037898,-0.0093774,-0.022494,-0.14399,0.020822,0.020982,-0.058541,-0.17368,0.074121,-0.15197,-0.022303,-0.020627,0.022857,-0.11458,-0.049104,0.068086,-0.036937,-0.073905,0.094316,0.079764,-0.037585,0.052417,0.020853,-0.020364,0.025777,0.031048,-0.089711,0.018231,-0.081628,0.16518,-0.16265,0.20825,-0.16095,0.03068,0.047859,0.016346,0.10399,-0.22316,-0.1268,-0.19661,-0.070133,0.11536,-0.054607,-0.10143,0.068196,0.13124,0.11372,-0.39665,0.35697,-0.073948,-0.062305,-0.23557,0.2973,-0.029901,0.18497,-0.093737,-0.18537,0.015797,0.0055053,0.012913,0.045735
"Trigonelline",0.12974,0.092162,-0.24129,0.057982,-0.039981,-0.23774,0.32063,-0.11881,0.32059,0.021803,0.20386,-0.39817,-0.22909,-0.039883,0.048429,0.091435,0.0018022,-0.061489,0.23285,-0.23871,-0.00085924,0.054115,-0.15079,-0.10642,0.027548,-0.028117,0.038804,-0.060186,0.0011427,0.0093049,0.12877,-0.12742,0.10939,-0.0087934,-0.047876,-0.16105,0.021857,-0.061747,0.062161,-0.026687,0.041342,0.04836,-0.077498,0.082446,0.022636,-0.054386,-0.041392,-0.12956,0.066986,-0.067093,-0.15991,0.051949,0.12312,0.035437,-0.0054728,0.019503,-0.11286,-0.086001,0.043448,0.0054019,0.034527,-0.079231,-0.082436
"Trimethylamine N-oxide",0.1068,0.035752,-0.099708,0.10626,-0.23623,0.12791,-0.099082,-0.10457,0.053718,0.30032,-0.23731,-0.020649,-0.10204,0.19054,-0.044554,0.052187,-0.071383,0.040672,-0.21395,0.18641,0.11751,-0.17551,0.013706,-0.15221,0.0336,-0.13779,-0.12418,-0.017107,0.13586,-0.029308,0.10022,0.030365,0.2078,0.087111,-0.11715,-0.0058444,-0.050231,0.065183,-0.074693,-0.13741,0.10468,0.18529,-0.070468,0.052194,0.072483,-0.055552,0.087214,-0.081126,0.042017,-0.26639,-0.0048242,0.0076636,-0.074772,-0.055555,-0.04495,-0.35956,0.031431,-0.19259,0.12111,-0.05232,-0.10135,0.02733,-0.0016791
"Tryptophan",0.12228,-0.029362,-0.020526,-0.0019896,0.054705,-0.035561,0.026432,0.10856,-0.066384,0.11741,-0.089004,0.09296,0.011279,0.11907,0.0033955,-0.036085,-0.015652,0.003873,0.1183,-0.21219,-0.12696,-0.047459,-0.20878,0.0017466,0.016766,0.14449,0.0099638,0.18897,-0.1064,0.17186,0.061023,-0.0083208,0.25375,0.012635,-0.024583,-0.089408,-0.068657,-0.092547,-0.10186,-0.11299,0.09154,-0.033032,-0.3603,-0.18056,0.0036218,0.024468,-0.10995,-0.10114,0.043109,0.31738,0.0505,-0.096667,-0.13384,0.10648,0.19302,-0.076139,0.38285,-0.038483,-0.10848,-0.031757,-0.13369,0.10332,0.115
"Tyrosine",0.13823,0.019717,-0.084725,-0.096625,0.066219,-0.12426,-0.057073,0.14711,0.035805,0.1221,-0.047285,0.018587,0.092252,0.096077,0.0084553,-0.077101,-0.036846,-0.0014155,0.041641,-0.076356,-0.25466,0.0053179,-0.076186,0.041185,0.076655,-0.033963,-0.078914,0.067581,-0.024782,0.29391,-0.06136,-0.20243,0.060122,0.22885,0.054762,0.045218,0.10963,0.081479,-0.076302,0.070507,-0.11357,0.0011092,0.30672,-0.056376,0.20071,-0.22317,0.078365,0.37583,0.086365,-0.052006,-0.094218,0.016262,0.051426,0.1437,-0.0040641,-0.27268,-0.0025807,0.15726,-0.020158,0.1604,0.096164,-0.058268,-0.1651
"Uracil",0.10735,-0.10024,0.2056,0.046702,-0.083735,0.019211,-0.036502,-0.040124,0.025084,0.054398,0.0031364,-0.044431,0.0066142,-0.24854,-0.0043618,-0.052854,-0.12035,-0.28469,0.018074,0.25971,0.084856,-0.062984,-0.20905,-0.061209,0.17066,0.0020912,-0.12426,0.18418,0.16585,0.20905,0.15139,-0.0099608,-0.12791,0.17486,0.068681,-0.13274,-0.074464,-0.0251,0.24751,-0.2952,-0.078101,-0.17344,0.090831,-0.10531,0.17007,0.014002,-0.19481,-0.056492,0.053115,0.1504,0.038244,0.10251,0.037038,-0.079736,-0.18133,0.074535,-0.11195,0.012239,-0.06515,0.0079171,-0.074186,0.028351,0.047993
"Valine",0.13078,0.030249,0.045112,-0.040337,0.043975,0.0024779,-0.028102,0.016497,-0.01004,0.040893,0.040291,-0.075685,0.083745,0.065643,0.042298,-0.13421,-0.04996,0.0075013,-0.02118,0.01151,0.057191,-0.038016,-0.1023,-0.055153,0.068402,0.0862,-0.015238,-0.084687,-0.08877,-0.071316,0.039984,-0.011319,-0.0027181,0.021781,0.058982,0.016227,-0.20296,0.083945,-0.14693,0.02501,-0.24824,-0.10847,0.023282,-0.052346,-0.0018971,-0.052924,-0.019107,-0.050695,0.11734,0.010892,-0.096083,-0.012435,-0.16749,-0.098831,0.014801,0.052155,0.05399,0.11198,0.23605,-0.6834,0.29993,-0.077423,-0.15564
"Xylose",0.095321,0.13553,0.11034,0.038273,0.015799,0.11985,-0.16648,0.048234,-0.14935,0.036015,0.022833,-0.21645,0.018299,0.23713,-0.0094868,0.079613,-0.04082,-0.090605,0.21101,0.040159,0.05097,0.19306,-0.21887,0.20001,-0.18287,-0.10263,-0.17219,-0.12986,-0.081442,-0.29293,-0.05924,-0.1425,-0.18982,0.048263,-0.12549,0.021983,0.059832,-0.13631,0.161,0.11252,0.13176,0.057633,0.046116,-0.14083,-0.095348,0.018275,-0.2403,0.098589,0.24041,0.020184,-0.063444,-0.025859,-0.079947,-0.052204,-0.1802,-0.13162,0.12254,-0.039554,0.042689,0.049593,0.0027971,0.013922,0.10957
"cis-Aconitate",0.16963,-0.067322,0.041186,0.094653,-0.069541,0.03686,0.00083917,0.046055,0.10587,-0.030373,-0.045909,-0.048636,0.086652,0.071895,-0.1792,0.05622,0.12567,-0.028386,-0.26037,-0.042407,-0.049894,-0.079413,0.05471,0.13512,-0.074664,0.020899,0.16559,0.088736,-0.10037,-0.15397,-0.17055,0.12238,0.18614,0.16905,0.16345,0.077795,5.5929e-05,-0.17312,0.16538,-0.040712,0.071661,-0.12831,0.014959,-0.07881,0.064891,-0.01091,0.16404,-0.080108,0.24692,-0.0056543,-0.20749,0.0668,-0.15579,0.15423,-0.14622,0.20776,-0.040383,-0.24387,-0.29316,0.025081,0.13793,-0.076826,-0.18276
"myo-Inositol",0.1296,0.07594,0.15219,-0.22632,0.17465,0.10549,-0.096234,-0.12246,0.1378,0.16744,0.0086783,0.30039,-0.10347,0.066981,0.11644,-0.11235,-0.081439,0.16111,0.14265,-0.11705,0.042107,0.1142,-0.10298,-0.13417,-0.01128,-0.09449,0.2185,-0.088018,-0.12095,-0.089013,0.31158,0.23387,0.0065937,0.027,-0.18459,0.15813,0.0078887,0.11597,0.12819,-0.16108,0.036192,0.069818,0.13482,0.019321,-0.1225,-0.080844,0.043527,-0.033107,-0.0056467,0.15225,0.016664,0.12204,0.11027,-0.050184,-0.10221,-0.002862,0.0066157,-0.071815,-0.16963,0.071889,0.11559,-0.074584,-0.15143
"trans-Aconitate",0.11266,0.16198,-0.097477,-0.081571,-0.050986,0.043831,0.026485,-0.025558,0.034979,-0.039039,-0.052045,0.0040621,-0.05083,-0.010617,0.038152,0.22032,-0.14521,-0.0055005,0.19801,0.054645,0.030908,-0.096256,0.1252,-0.06611,-0.1088,-0.002651,0.27832,0.077156,0.019817,0.12796,-0.34524,-0.22232,-0.071731,-0.17249,-0.12936,0.32189,-0.16706,0.10054,0.020946,-0.094106,0.19481,-0.24686,0.011672,-0.028857,0.12976,-0.047686,-0.049066,-0.17205,0.014424,0.010682,0.21046,-0.098223,-0.084114,0.037788,-0.16366,-0.12878,-0.07501,0.14629,-0.096453,-0.080696,0.0039882,0.0032038,-0.064092
"pi-Methylhistidine",0.13185,-0.2339,-0.020173,0.23254,0.13935,0.14309,-0.070275,0.27852,0.26372,0.26936,0.40112,0.028757,0.090041,-0.26809,-0.1083,-0.038908,-0.15988,0.025049,0.1066,-0.11176,0.0525,-0.035717,0.30137,-0.017724,-0.10298,0.016142,-0.046188,0.032914,0.11025,-0.10533,-0.041137,0.062791,0.060134,0.069463,-0.012952,-0.032464,-0.14287,0.090459,0.025982,0.1071,0.10641,0.034182,-0.011544,-0.003945,-0.027794,0.084474,-0.033466,0.14903,0.00039159,0.017351,0.0058233,-0.14706,0.008669,-0.14479,-0.046353,-0.12528,0.062655,0.0088632,-0.053644,-0.037665,-0.021296,-0.017726,0.0399
"tau-Methylhistidine",0.12167,-0.12523,-0.0077581,0.044581,0.042766,0.079439,-0.081105,0.1185,0.14734,0.052858,0.026645,-0.096596,0.16337,-0.18415,0.12167,0.072791,0.026827,0.22859,-0.11213,0.18384,-0.028409,-0.03318,0.0039557,0.10759,0.0872,-0.037991,-0.18435,0.0045144,-0.36235,-0.08653,-0.071373,-0.038784,0.13339,-0.13071,-0.33224,0.083451,0.1544,-0.084205,0.0061371,-0.083228,-0.078698,-0.083297,0.1225,0.12936,0.16031,-0.042837,-0.12296,-0.25077,0.0066856,0.029574,0.038644,0.13717,0.19945,0.19451,0.095787,0.094942,0.13179,0.063569,0.19667,0.055163,-0.034688,0.015343,0.0074362
